CustomerId,StockCode,Description
12748,22197,SMALL POPCORN HOLDER
12748,22197,POPCORN HOLDER
14298,22197,SMALL POPCORN HOLDER
14298,22197,POPCORN HOLDER
14456,22197,SMALL POPCORN HOLDER
14456,22197,POPCORN HOLDER
16033,22197,SMALL POPCORN HOLDER
16033,22197,POPCORN HOLDER
13081,22197,SMALL POPCORN HOLDER
13081,22197,POPCORN HOLDER
17511,22197,SMALL POPCORN HOLDER
17511,22197,POPCORN HOLDER
13263,22197,SMALL POPCORN HOLDER
13263,22197,POPCORN HOLDER
16931,22197,SMALL POPCORN HOLDER
16931,22197,POPCORN HOLDER
15547,22197,SMALL POPCORN HOLDER
15547,22197,POPCORN HOLDER
18118,22197,SMALL POPCORN HOLDER
18118,22197,POPCORN HOLDER
17337,22197,SMALL POPCORN HOLDER
17337,22197,POPCORN HOLDER
15529,22197,SMALL POPCORN HOLDER
15529,22197,POPCORN HOLDER
15039,22197,SMALL POPCORN HOLDER
15039,22197,POPCORN HOLDER
17338,22197,SMALL POPCORN HOLDER
17338,22197,POPCORN HOLDER
15998,22197,SMALL POPCORN HOLDER
15998,22197,POPCORN HOLDER
13694,22197,SMALL POPCORN HOLDER
13694,22197,POPCORN HOLDER
14502,22197,SMALL POPCORN HOLDER
14502,22197,POPCORN HOLDER
16360,22197,SMALL POPCORN HOLDER
16360,22197,POPCORN HOLDER
15159,22197,SMALL POPCORN HOLDER
15159,22197,POPCORN HOLDER
15498,22197,SMALL POPCORN HOLDER
15498,22197,POPCORN HOLDER
17811,22197,SMALL POPCORN HOLDER
17811,22197,POPCORN HOLDER
16984,22197,SMALL POPCORN HOLDER
16984,22197,POPCORN HOLDER
14049,22197,SMALL POPCORN HOLDER
14049,22197,POPCORN HOLDER
16241,22197,SMALL POPCORN HOLDER
16241,22197,POPCORN HOLDER
16713,22197,SMALL POPCORN HOLDER
16713,22197,POPCORN HOLDER
15993,22197,SMALL POPCORN HOLDER
15993,22197,POPCORN HOLDER
17602,22197,SMALL POPCORN HOLDER
17602,22197,POPCORN HOLDER
13969,22197,SMALL POPCORN HOLDER
13969,22197,POPCORN HOLDER
14534,22197,SMALL POPCORN HOLDER
14534,22197,POPCORN HOLDER
17954,22197,SMALL POPCORN HOLDER
17954,22197,POPCORN HOLDER
14056,22197,SMALL POPCORN HOLDER
14056,22197,POPCORN HOLDER
16910,22197,SMALL POPCORN HOLDER
16910,22197,POPCORN HOLDER
14730,22197,SMALL POPCORN HOLDER
14730,22197,POPCORN HOLDER
13451,22197,SMALL POPCORN HOLDER
13451,22197,POPCORN HOLDER
15033,22197,SMALL POPCORN HOLDER
15033,22197,POPCORN HOLDER
15034,22197,SMALL POPCORN HOLDER
15034,22197,POPCORN HOLDER
15719,22197,SMALL POPCORN HOLDER
15719,22197,POPCORN HOLDER
15856,22197,SMALL POPCORN HOLDER
15856,22197,POPCORN HOLDER
17813,22197,SMALL POPCORN HOLDER
17813,22197,POPCORN HOLDER
15358,22197,SMALL POPCORN HOLDER
15358,22197,POPCORN HOLDER
17059,22197,SMALL POPCORN HOLDER
17059,22197,POPCORN HOLDER
17365,22197,SMALL POPCORN HOLDER
17365,22197,POPCORN HOLDER
14895,22197,SMALL POPCORN HOLDER
14895,22197,POPCORN HOLDER
17757,22197,SMALL POPCORN HOLDER
17757,22197,POPCORN HOLDER
17965,22197,SMALL POPCORN HOLDER
17965,22197,POPCORN HOLDER
14701,22197,SMALL POPCORN HOLDER
14701,22197,POPCORN HOLDER
13488,22197,SMALL POPCORN HOLDER
13488,22197,POPCORN HOLDER
14071,22197,SMALL POPCORN HOLDER
14071,22197,POPCORN HOLDER
14367,22197,SMALL POPCORN HOLDER
14367,22197,POPCORN HOLDER
17706,22197,SMALL POPCORN HOLDER
17706,22197,POPCORN HOLDER
16712,22197,SMALL POPCORN HOLDER
16712,22197,POPCORN HOLDER
13268,22197,SMALL POPCORN HOLDER
13268,22197,POPCORN HOLDER
14432,22197,SMALL POPCORN HOLDER
14432,22197,POPCORN HOLDER
13209,22197,SMALL POPCORN HOLDER
13209,22197,POPCORN HOLDER
17428,22197,SMALL POPCORN HOLDER
17428,22197,POPCORN HOLDER
16813,22197,SMALL POPCORN HOLDER
16813,22197,POPCORN HOLDER
17576,22197,SMALL POPCORN HOLDER
17576,22197,POPCORN HOLDER
14583,22197,SMALL POPCORN HOLDER
14583,22197,POPCORN HOLDER
15640,22197,SMALL POPCORN HOLDER
15640,22197,POPCORN HOLDER
13975,22197,SMALL POPCORN HOLDER
13975,22197,POPCORN HOLDER
18122,22197,SMALL POPCORN HOLDER
18122,22197,POPCORN HOLDER
16474,22197,SMALL POPCORN HOLDER
16474,22197,POPCORN HOLDER
15752,22197,SMALL POPCORN HOLDER
15752,22197,POPCORN HOLDER
13869,22197,SMALL POPCORN HOLDER
13869,22197,POPCORN HOLDER
14446,22197,SMALL POPCORN HOLDER
14446,22197,POPCORN HOLDER
15570,22197,SMALL POPCORN HOLDER
15570,22197,POPCORN HOLDER
14684,22197,SMALL POPCORN HOLDER
14684,22197,POPCORN HOLDER
18116,22197,SMALL POPCORN HOLDER
18116,22197,POPCORN HOLDER
17284,22197,SMALL POPCORN HOLDER
17284,22197,POPCORN HOLDER
16940,22197,SMALL POPCORN HOLDER
16940,22197,POPCORN HOLDER
13418,22197,SMALL POPCORN HOLDER
13418,22197,POPCORN HOLDER
17625,22197,SMALL POPCORN HOLDER
17625,22197,POPCORN HOLDER
15426,22197,SMALL POPCORN HOLDER
15426,22197,POPCORN HOLDER
14711,22197,SMALL POPCORN HOLDER
14711,22197,POPCORN HOLDER
16007,22197,SMALL POPCORN HOLDER
16007,22197,POPCORN HOLDER
16133,22197,SMALL POPCORN HOLDER
16133,22197,POPCORN HOLDER
15805,22197,SMALL POPCORN HOLDER
15805,22197,POPCORN HOLDER
14329,22197,SMALL POPCORN HOLDER
14329,22197,POPCORN HOLDER
16728,22197,SMALL POPCORN HOLDER
16728,22197,POPCORN HOLDER
15356,22197,SMALL POPCORN HOLDER
15356,22197,POPCORN HOLDER
15910,22197,SMALL POPCORN HOLDER
15910,22197,POPCORN HOLDER
13471,22197,SMALL POPCORN HOLDER
